,Disease Name,Sentence,Spacy Tokens Target,BERT Tokens Target
4373,cough cough,Sensitivity of the cough reflex in patients with chronic cough,[0 0 0 1 0 0 0 0 0 1],[0 0 0 1 0 0 0 0 0 1]
4374,soft tissue sarcomas,Pediatric soft tissue sarcomas,[0 1 1 1],[0 1 1 1 1 1]
4375,headache,Muscle-contraction headache: Therapeutic aspects,[0 0 0 1 0 0 0],[0 0 0 1 0 0 0]
4376,,Stress echocardiography,[0 0],[0 0 0 0]
4377,,Ovulation induction in perspective,[0 0 0 0],[0 0 0 0 0 0]
4378,schizophrenia schizophrenia,Environment and schizophrenia: review: the wider social environment and schizophrenia,[0 0 1 0 0 0 0 0 0 0 0 1],[0 0 1 0 0 0 0 0 0 0 0 1]
4379,,WHAT TYPES OF EPILEPSY ARE PRECEDED BY FEBRILE SEIZURES? A POPILATION‐BASED STUDY OF CHILDREN,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4380,,B cells help alloreactive T cells differentiate into memory T cells,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
4381,fibromyalgia,The science of fibromyalgia,[0 0 0 1],[0 0 0 1 1 1 1 1]
4382,cervical cancer,Cleaning the womb: constructions of cervical screening and womb cancer among rural black women in South Africa,[0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0],[0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0]
4383,,Lupus nephritis: a critical review,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
4384,irritable bowel syndrome,The irritable bowel syndrome: mechanisms and a practical approach to management,[0 1 1 1 0 0 0 0 0 0 0 0],[0 1 1 1 1 1 1 0 0 0 0 0 0 0 0]
4385,scarlet fever,The etiology of scarlet fever,[0 0 0 1 1],[0 0 0 0 1 1]
4386,ingrown toenails,Surgical management of ingrown toenails–an update overdue,[0 0 0 1 1 0 0 0 0],[0 0 0 1 1 1 1 1 1 0 0 0 0 0]
4387,,Seborrheic dermatitis,[0 0],[0 0 0 0 0 0 0 0]
4388,lipoedema,Quality of life in women with lipoedema: a contextual behavioral approach,[0 0 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0]
4389,depression,Depression research: where are we now?,[1 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0]
4390,,On the rate of gain of information,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0]
4391,and diverticular disease and diverticulitis,"Sequence variants in ARHGAP15, COLQ and FAM155A associate with diverticular disease and diverticulitis",[0 0 0 0 0 0 1 0 0 0 1 1 1 1],[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1]
4392,bipolar disorder,Bipolar disorder,[1 1],[1 1]
4393,,Analgesic use in the emergency department,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
4394,,Design and analysis of case-control studies,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
4395,hearing loss hearing loss,Cigarette smoking and hearing loss: the epidemiology of hearing loss study,[0 0 0 1 1 0 0 0 0 1 1 0],[0 0 0 1 1 0 0 0 0 0 0 0 1 1 0]
4396,erectile dysfunction,The epidemiology and pathophysiology of erectile dysfunction,[0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 1 1 1]
4397,,Review of treatment for alopecia totalis and alopecia universalis,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4398,labyrinthitis,Direction-changing positional nystagmus in acute otitis media complicated by serous labyrinthitis: new insights into positional nystagmus,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0]
4399,sinusitis,The diagnosis and management of sinusitis: a practice parameter update,[0 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 0 1 1 1 0 0 0 0 0]
4400,,Hyperprolactinaemia and impotence,[0 0 0],[0 0 0 0 0 0 0 0 0 0]
4401,,CT-expo--a novel program for dose evaluation in CT,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
4402,scoliosis,Scoliosis: a review,[1 0 0 0],[1 1 1 0 0 0]
4403,,Infections of the Ear.,[0 0 0 0 0],[0 0 0 0 0]
4404,,A high normal TSH is associated with the metabolic syndrome,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
4405,lactose intolerance,Lactose intolerance in adults: biological mechanism and dietary management,[1 1 0 0 0 0 0 0 0 0],[1 1 1 1 1 0 0 0 0 0 0 0 0]
4406,sickle cell disease,Management of sickle cell disease,[0 0 1 1 1],[0 0 1 1 1 1]
4407,depression,The treatment of postnatal depression: a comprehensive literature review,[0 0 0 0 1 0 0 0 0 0],[0 0 0 0 0 0 1 0 0 0 0 0]
4408,,The AV node: normal and abnormal physiology,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
4409,,IARC carcinogen update,[0 0 0],[0 0 0 0 0 0]
4410,panic disorder,The long-term course of panic disorder and its predictors,[0 0 0 0 0 0 1 1 0 0 0],[0 0 0 0 0 0 1 1 0 0 0 0]
4411,,Cervical radiculopathy,[0 0],[0 0 0 0 0]
4412,stomach cancer,Epidemiology of stomach cancer,[0 0 1 1],[0 0 0 0 0 1 1]
4413,,Nutraceutical production by propionibacteria,[0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
4414,,Duplex ultrasound scanning of peripheral arterial disease of the lower limb,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
4415,,Design of erosion/abrasion studies–insights and rational concepts,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
4416,,Defining flatfoot,[0 0],[0 0 0]
4417,,Lipoedema: from clinical presentation to therapy. A review of the literature,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4418,,Premature ventricular contraction-induced cardiomyopathy: a treatable condition,[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4419,,Regulation of chylomicron production in humans,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0]
4420,prostate cancer,What causes prostate cancer? A brief summary of the epidemiology,[0 0 1 1 0 0 0 0 0 0 0],[0 0 1 1 0 0 0 0 0 0 0 0 0 0]
4421,pneumonia,"Pneumonia Due to Chlamydia pneumoniae: Prevalence, Clinical Features, Diagnosis, and Treatment",[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4422,hyperglycaemia,Management of diabetes and hyperglycaemia in the hospital,[0 0 0 0 1 0 0 0],[0 0 0 0 1 1 1 1 0 0 0]
4423,,Biology of oral mucosa and esophagus,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
4424,,A comparison of colonoscopy and double-contrast barium enema for surveillance after polypectomy,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4425,,Huntington's disease,[0 0 0],[0 0 0 0]
4426,chickenpox,Severe complications of chickenpox in hospitalised children in the UK and Ireland,[0 0 0 1 0 0 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0]
4427,angina,Unstable angina pectoris,[0 1 0],[0 1 1 0 0 0]
4428,cellulitis,Cellulitis: a review of current practice guidelines and differentiation from pseudocellulitis,[1 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4429,fever in adults,Fever in adults: what to do when the cause is not obvious,[1 1 1 0 0 0 0 0 0 0 0 0 0],[1 1 1 0 0 0 0 0 0 0 0 0 0]
4430,leg cramps,Criteria in diagnosing nocturnal leg cramps: a systematic review,[0 0 0 0 1 1 0 0 0 0],[0 0 0 0 0 0 1 1 1 0 0 0 0]
4431,erectile dysfunction,Prevalence and risk factors for erectile dysfunction in the US,[0 0 0 0 0 1 1 0 0 0],[0 0 0 0 0 1 1 1 0 0 0]
4432,cancer nasal and sinuses,Cancer of the nasal cavity and paranasal sinuses,[1 0 0 1 0 1 0 1],[1 0 0 1 0 1 0 0 1 1]
4433,,Staphylococcus aureus and its food poisoning toxins: characterization and outbreak investigation,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4434,,The essence of analgesia and analgesics,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
4435,liver disease,"Drinking patterns, dependency and life‐time drinking history in alcohol‐related liver disease",[0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1]
4436,,Constipation and LUTS: how do they affect each other?,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4437,,Thoracic paravertebral block,[0 0 0],[0 0 0 0 0 0 0 0]
4438,,Asymmetric hydrogenation,[0 0],[0 0 0 0 0]
4439,dementia,General risk factors for dementia: a systematic evidence review,[0 0 0 0 1 0 0 0 0 0],[0 0 0 0 1 0 0 0 0 0]
4440,liver disease liver disease,Nonalcoholic fatty liver disease and alcohol-related liver disease: From clinical aspects to pathophysiological insights,[0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0],[0 0 0 0 0 0 1 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0]
4441,heart failure,Systolic and diastolic heart failure: differences and similarities,[0 0 0 1 1 0 0 0 0],[0 0 0 0 0 0 0 1 1 0 0 0 0]
4442,,Mechanisms of endocochlear potential generation by stria vascularis,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4443,chronic pain,"Chronic pain: an update on burden, best practices, and new advances",[1 1 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0 0 0]
4444,,A method of arthroscopic surgery. Clinical evaluation of synovectomy with the electric resectoscope and removal of loose bodies in the knee joint.,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4445,,The determinants of peak bone mass,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
4446,,Expanding multiple marker screening for Down's syndrome to include Edward's syndrome,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4447,diarrhoea,Management of infectious diarrhoea,[0 0 0 1],[0 0 0 1 1 1 1]
4448,abdominal aortic aneurysm,Abdominal aortic aneurysm: update on pathogenesis and medical treatments,[1 1 1 0 0 0 0 0 0 0],[1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0]
4449,,The foreign policy of the calorie,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
4450,,Chemonucleolysis,[0],[0 0 0 0 0 0]
4451,supraventricular tachycardia,"Patients with supraventricular tachycardia presenting with aborted sudden death: incidence, mechanism and long-term follow-up",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4452,sinusitis sinusitis,Does this patient have sinusitis?: diagnosing acute sinusitis by history and physical examination,[0 0 0 0 1 0 0 0 0 1 0 0 0 0 0],[0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0]
4453,,Liver circulation and function,[0 0 0 0],[0 0 0 0]
4454,loss of libido,"Testosterone improves antidepressant‐emergent loss of libido in women: Findings from a randomized, double‐blind, placebo‐controlled trial",[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4455,food poisoning,"Review on food poisoning (types, causes, symptoms, diagnosis, treatment)",[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 0 0 0 0 0 0 0 0 0 0 0]
4456,,Cyclooxygenase-2—10 years later,[0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
4457,chlamydia,Chlamydia cell biology and pathogenesis,[1 0 0 0 0],[1 1 1 1 0 0 0 0 0]
4458,,Early hemorrhage growth in patients with intracerebral hemorrhage,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4459,,Infarct scar: a dynamic tissue,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0]
4460,,Pellagra: A Non-Eradicated Old Disease,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
4461,depression,Lessons from the great depression,[0 0 0 0 1],[0 0 0 0 1]
4462,hodgkin lymphoma,Global patterns and trends in the incidence of non-Hodgkin lymphoma,[0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1]
4463,,A comparative case‐control study of colorectal cancer and adenoma,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4464,fungal infections nail,Fungal infections of the skin and nail: new treatment options,[1 1 0 0 0 0 1 0 0 0 0],[1 1 0 0 0 0 1 0 0 0 0]
4465,,"Diagnosis of Ebola virus disease: past, present, and future",[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
4466,,Critical review of clinical practice guidelines for fertility preservation in teenagers and young adults with cancer,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4467,diabetes,Prevalence and risk factors of lipohypertrophy in insulin-injecting patients with diabetes,[0 0 0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
4468,restless legs syndrome,Restless legs syndrome: clinicoetiologic correlates,[1 1 1 0 0 0],[1 1 1 0 0 0 0 0 0 0 0 0]
4469,,Palate re-repair revisited,[0 0 0 0 0],[0 0 0 0 0 0]
4470,,Paroxysmal nocturnal hemoglobinuria as a molecular disease,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4471,,Contribution of auditory nerve fibers to compound action potential of the auditory nerve,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0]
4472,cervical cancer,Cervical cancer,[1 1],[1 1]
4473,septic shock,Selected treatment strategies for septic shock based on proposed mechanisms of pathogenesis,[0 0 0 0 1 1 0 0 0 0 0 0],[0 0 0 0 1 1 1 0 0 0 0 0 0 0]
4474,migraine,Neurotology of migraine,[0 0 1],[0 0 0 0 1 1]
4475,chest infection,Seasonal variation in respiratory syncytial virus chest infection in the tropics,[0 0 0 0 0 0 1 1 0 0 0],[0 0 0 0 0 0 0 0 1 1 0 0 0 0 0]
4476,osteoporosis,Rationale for the use of alendronate in osteoporosis,[0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1]
4477,,Recombinant tissue plasminogen activator for acute ischemic stroke,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4478,,Colles' fracture.,[0 0 0 0],[0 0 0 0 0]
4479,cystic fibrosis cystic fibrosis,Diagnosis of cystic fibrosis: consensus guidelines from the cystic fibrosis foundation,[0 0 1 1 0 0 0 0 0 1 1 0],[0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 0]
4480,,Retracing “Ondine's curse”,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
4481,hiatus hernia,The effect of hiatus hernia on gastro-oesophageal junction pressure,[0 0 0 1 1 0 0 0 0 0 0],[0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0]
4482,soft tissue sarcomas,Soft tissue sarcomas in adolescents and young adults: a comparison with their paediatric and adult counterparts,[1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4483,anal cancer,Anal cancer: current standards in care and recent changes in practice,[1 1 0 0 0 0 0 0 0 0 0 0],[1 1 0 0 0 0 0 0 0 0 0 0]
4484,,Myocardial ischemia in untreated hypertensive patients: effect of a single small oral dose of a beta-adrenergic blocking agent.,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4485,,"Lipedema fat and signs and symptoms of illness, increase with advancing stage",[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4486,,Arousal systems,[0 0],[0 0]
4487,,Long-term maintenance of weight loss after a very-low-calorie diet: a randomized blinded trial of the efficacy and tolerability of sibutramine,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4488,,"High-density lipoprotein, low-density lipoprotein and coronary artery disease",[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4489,,Diagnostic ultrasound: physics and equipment,[0 0 0 0 0 0],[0 0 0 0 0 0]
4490,multiple myeloma,Latest advances and current challenges in the treatment of multiple myeloma,[0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 1 1 1 1]
4491,chilblains,Chilblains in immune-mediated inflammatory diseases: a review,[1 0 0 0 0 0 0 0 0 0],[1 1 1 1 0 0 0 0 0 0 0 0 0]
4492,menopause,Treatment of menopause-associated vasomotor symptoms: position statement of The North American Menopause Society,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4493,osteosarcoma,Osteosarcoma treatment–where do we stand? A state of the art review,[1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
4494,,Allergic Rhinitis and its Impact on Asthma (ARIA) guidelines: 2010 revision,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4495,,"Adverse food reactions: Pathogenesis, clinical signs, diagnosis and alternatives to elimination diets",[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4496,,Return-to-play outcomes after microscopic lumbar diskectomy in professional athletes,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4497,,Xanthoma of bone,[0 0 0],[0 0 0 0 0 0]
4498,,Night-time EKG and HRV monitoring with bed sheet integrated textile electrodes,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4499,ectopic pregnancy,Ectopic pregnancy: a review,[1 1 0 0 0],[1 1 1 1 0 0 0]
4500,psoriasis,Risk factors for the development of psoriasis,[0 0 0 0 0 0 1],[0 0 0 0 0 0 1 1 1]
4501,ankylosing spondylitis,Evaluation of diagnostic criteria for ankylosing spondylitis,[0 0 0 0 0 1 1],[0 0 0 0 0 1 1 1 1 1 1 1 1]
4502,,The causal web of foetal alcohol spectrum disorders: a review and causal diagram,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4503,common cold,The common cold: a review of the literature,[0 1 1 0 0 0 0 0 0],[0 1 1 0 0 0 0 0 0]
4504,,T cell activation,[0 0 0],[0 0 0]
4505,chronic lymphocytic leukaemia,The clinical and epidemiological burden of chronic lymphocytic leukaemia,[0 0 0 0 0 0 1 1 1],[0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1]
4506,prostate cancer,Molecular genetics of prostate cancer,[0 0 0 1 1],[0 0 0 1 1]
4507,bacterial vaginosis,The global epidemiology of bacterial vaginosis: a systematic review,[0 0 0 0 1 1 0 0 0 0],[0 0 0 0 0 0 0 1 1 1 1 0 0 0 0]
4508,,Enteropathic spondyloarthritis: from diagnosis to treatment,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4509,,II. Cerebral infarction/transient ischemic attack (TIA),[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4510,febrile seizures,Prognosis in children with febrile seizures,[0 0 0 0 1 1],[0 0 0 0 0 0 1 1 1 1]
4511,,Laparoscopic splenectomy for massive splenomegaly using a Lahey bag,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4512,,Esophageal manometry: a comparison of findings in younger and older patients,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4513,,Globus pharyngis: development of a symptom assessment scale,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4514,,842 Slapped-Cheek Infections in Children with Severe Complications in Preschool Children,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4515,pleurisy,On the history of disease-concepts: the case of pleurisy,[0 0 0 0 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 0 0 1 1 1 1]
4516,genital warts,Estimation of the incidence of genital warts and the cost of illness in Germany: a cross-sectional study,[0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0]
4517,acne acne,"Adult acne versus adolescent acne: a retrospective study of 1,167 patients",[0 1 0 0 1 0 0 0 0 0 0 0],[0 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0]
4518,,Prevalence and predictors of cervical involvement in psoriatic spondyloarthropathy,[0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4519,dehydration,Dehydration and cognitive performance,[1 0 0 0],[1 1 1 1 0 0 0]
4520,heart failure,Cardiac-resynchronization therapy for the prevention of heart-failure events,[0 0 0 0 0 0 0 0 1 0 1 0],[0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0]
4521,,The safety and effectiveness of different methods of earwax removal: a systematic review and economic evaluation,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4522,appendicitis appendicitis,Development of the RIPASA score: a new appendicitis scoring system for the diagnosis of acute appendicitis,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1],[0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1]
4523,,Duodenitis,[0],[0 0 0]
4524,sickle cell disease,Pregnancy in sickle cell disease: experience of the Cooperative Study of Sickle Cell Disease,[0 0 1 1 1 0 0 0 0 0 0 0 0 0 0],[0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0]
4525,chickenpox,Epidemiology of hospital admissions for chickenpox in children: an Italian multicentre study in the pre‐vaccine era,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4526,,The erector spinae plane block: a novel analgesic technique in thoracic neuropathic pain,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4527,liver liver cancer,Mechanisms of liver fibrosis and its role in liver cancer,[0 0 1 0 0 0 0 0 1 1],[0 0 1 0 0 0 0 0 0 0 1 1]
4528,,Ewing sarcoma family of tumors in children younger than 10 years of age,[0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4529,,Diseases of the Esophagus: Diagnosis with Esophagography1,[0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4530,,Pain in the ear—with special reference to referred pain,[0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
4531,,Winoground: Probing vision and language models for visio-linguistic compositionality,[0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4532,,Diagnosis and treatment of urethritis in men,[0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0]
4533,,Ticlopidine,[0],[0 0 0 0 0]
4534,genital herpes,Genital herpes and public health: addressing a global problem,[1 1 0 0 0 0 0 0 0 0],[1 1 1 1 0 0 0 0 0 0 0 0]
4535,ingrown toenails,Soft-tissue nail-fold excision: a definitive treatment for ingrown toenails,[0 0 0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1]
4536,,Global prevalence of myopia and high myopia and temporal trends from 2000 through 2050,[0 0 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4537,haemorrhoids,Stapled haemorrhoidopexy for the treatment of haemorrhoids: a systematic review,[0 0 0 0 0 0 1 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0]
4538,,Peptic ulcer disease,[0 0 0],[0 0 0 0 0]
4539,anaphylaxis,"Anaphylaxis: past, present and future",[1 0 0 0 0 0 0],[1 1 1 1 1 0 0 0 0 0 0]
4540,,"Optimism, pessimism, and psychological well-being.",[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
4541,earaches,The incidence and health burden of earaches attributable to recreational swimming in natural waters: a prospective cohort study,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
4542,,Keratinocytes regulate the function of melanocytes,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
4543,,Measurement of cortisol,[0 0 0],[0 0 0 0 0]
4544,,Antibiotic resistance,[0 0],[0 0 0]
4545,,Management of acute ischemic stroke,[0 0 0 0 0],[0 0 0 0 0 0 0]
4546,,""" Structural factor"" in primary and secondary hypertension.",[0 0 0 0 0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0]
4547,,Axillary web syndrome after axillary dissection,[0 0 0 0 0 0],[0 0 0 0 0 0 0 0 0 0 0 0]
4548,personality disorder,A practical way to diagnosis personality disorder: a proposal,[0 0 0 0 0 1 1 0 0 0],[0 0 0 0 0 1 1 0 0 0]
4549,adenomyosis,Adenomyosis: an update regarding its diagnosis and clinical features,[1 0 0 0 0 0 0 0 0 0],[1 1 1 0 0 0 0 0 0 0 0 0]
4550,sore throat,A clinical score to reduce unnecessary antibiotic use in patients with sore throat,[0 0 0 0 0 0 0 0 0 0 0 1 1],[0 0 0 0 0 0 0 0 0 0 0 0 1 1]
